Event Type,C2S ID,Source IP,Source Port(s),Destination IP,Destination Port(s),Start Time,Stop Time
scan /usr/bin/nmap,43562,151.243.222.89,54527,172.28.52.6,22321,11/3/2009 8:20,11/3/2009 8:20
client compromise,45465,205.63.202.67,80,172.28.1.134,52784,11/3/2009 8:24,11/3/2009 8:24
client compromise,45466,205.63.202.67,80,172.28.1.203,54361,11/3/2009 8:24,11/3/2009 8:24
client compromise,45467,205.63.202.67,80,172.28.129.124,52339,11/3/2009 8:24,11/3/2009 8:24
client compromise,45468,205.63.202.67,80,172.28.133.12,60820,11/3/2009 8:24,11/3/2009 8:24
client compromise,45469,205.63.202.67,80,172.28.133.158,58046,11/3/2009 8:25,11/3/2009 8:25
client compromise,45470,205.63.202.67,80,172.28.133.86,48544,11/3/2009 8:25,11/3/2009 8:25
client compromise,45471,205.63.202.67,80,172.28.195.194,42133,11/3/2009 8:25,11/3/2009 8:25
client compromise,45472,205.63.202.67,80,172.28.198.166,56765,11/3/2009 8:25,11/3/2009 8:25
client compromise,45473,205.63.202.67,80,172.28.20.99,41069,11/3/2009 8:26,11/3/2009 8:26
client compromise,45474,205.63.202.67,80,172.28.4.202,33943,11/3/2009 8:26,11/3/2009 8:26
malware ddos,45475,172.28.133.12,0,152.162.178.254,499,11/3/2009 8:29,11/3/2009 8:34
malware ddos,45476,172.28.198.166,0,152.162.178.254,499,11/3/2009 8:29,11/3/2009 8:34
malware ddos,45477,172.28.195.194,0,152.162.178.254,499,11/3/2009 8:29,11/3/2009 8:34
malware ddos,45478,172.28.1.203,0,152.162.178.254,499,11/3/2009 8:29,11/3/2009 8:34
malware ddos,45479,172.28.20.99,0,152.162.178.254,499,11/3/2009 8:29,11/3/2009 8:34
malware ddos,45480,172.28.129.124,0,152.162.178.254,499,11/3/2009 8:29,11/3/2009 8:34
malware ddos,45481,172.28.133.86,0,152.162.178.254,499,11/3/2009 8:29,11/3/2009 8:34
malware ddos,45482,172.28.1.134,0,152.162.178.254,499,11/3/2009 8:29,11/3/2009 8:34
malware ddos,45483,172.28.133.158,0,152.162.178.254,499,11/3/2009 8:29,11/3/2009 8:34
scan /usr/bin/nmap,43563,19.16.150.30,59406,172.28.177.139,3129,11/3/2009 8:30,11/3/2009 8:30
